,star,好,乐,哀,怒,惧,恶,惊,contents
6805,0,13,1,2,0,1,1,0,照顾一些的佟老师写给章贺无苦之乐哪叫乐叮嘱郭柯宇天凉注意保暖祝愿拥有爱与自由给王秋雨最后一段写得太好了生活的面包和浪漫的内馅这五封信让我眼泪一直流止不住直到朱雅琼读信就开始彻底哭出声不要说你的名字不好听了你的名字超级好听美丽又坚强像悬崖上的花有最大智慧和真器的雅琼想拥抱你很久很久再见爱人节目组的情感浓度也太高了喜欢这个节目也喜欢认真做节目的人手写信里更加直观地展现了节目组的洞察力和细心好喜欢啊
7211,0,2,0,2,0,0,2,0,婚姻需要的不是抽象意义上的爱而是具体而微的爱的实践：对一个性情地域家庭迥异的另一个人漫长的共情忍耐宽容已婚七年虽然偶尔发觉其中人为设定的痕迹仍从某些时刻展露的婚姻真实中得到疗愈
10973,0,0,0,2,0,0,0,0,可以静下心来看的综艺女生都好让人心疼男的有时真不行
6155,0,0,0,2,0,0,0,0,我永远心疼任何一段感情里弱势的一方永远
5391,0,1,0,2,0,0,0,0,节目组太优秀了想看的内容想知道的答案都一一献上没想到每一个泪点都可以和观察室共感这一期大部分的泪点都是郭柯宇章贺这一对很多话没有说但却又包含了太多情感最后一期看着郭柯宇唱歌都可以让人泪目不得不说好的演员能把观众带入的情感最近几年完整唯一看的综艺
578,0,3,0,2,0,1,0,0,关注日益严峻的离婚问题由当事人本色出演相对真实综合了吃瓜嗑糖旅行情商课堂真人秀和双舞台等等元素面对镜头多少有点儿秀的成分但瑕不掩瑜引人深思
9961,0,7,2,2,0,0,6,0,结婚的时候不要把婚姻用来解决现在的问题不要高估你对没有爱情的婚姻生活的容忍程度在爱情里不要试图去改变一个人情绪性的问题解决一定是先处理情绪再去处理事实不管他谈了多少次恋爱但他爱你的能力都是重新学的好老公是打磨出来的有些人就是垃圾词汇有些人就是一语中的我们言语背后的弦外之音你能听到就能心领神会听不到别人说成黄脸婆也没用爱情需要伴侣的鼓励和肯定爱是什么是付出守护和日复一日的默默关怀爱还是什么是霸占摧毁和一切以爱之名释放的伤害
2940,0,7,2,2,0,0,3,0,有惊喜没有刻意贩卖焦虑虽然有一些喜剧碰撞情节让人觉得有剧本痕迹但是仔细回味下每一个细节又如此真实几对夫妻最深刻的就是章贺和郭柯宇从两人第一次见面到后面一起搭帐篷两人之间的无奈感真的疯狂戳到泪点太喜欢郭柯宇这种女生了章贺就不做评价了姐妹们看到这种男的就赶快跑吧另外不得不夸一句太会抓细节了目前也没有劝和的感觉所有离婚面临的问题都有在真实的展示不愧你芒
7725,0,2,0,2,0,0,0,0,恋爱综艺里的是假的只有离婚综艺的感情真到溢出屏幕情感浓度强烈到节目组都不需要设置太多这个综艺拥有真诚和剖析
1266,0,7,2,2,0,0,1,0,毫不夸张地说这是我看过最好的真人秀综艺节目其实我就没看过几部它只是借用了真人秀节目的呈现方式剖开两性亲密关系的内里探讨人类个体的渴望和需求以及人和人之间那种复杂多变的同时也是令人着迷又痛苦的纠缠和共生关系也许相爱很难就难在其实双方各有各寄望怎么办还是去爱吧去追求欢愉去体验幸福去感受痛苦去学习疗愈然后继续旅行
9554,0,7,0,2,0,0,2,0,一个很棒的节目以人去爱人：这也许是给予我们的最艰难最重大的事是最后的实验与考试是最高的工作别的工作都不过是为此而做的准备所以一切正在开始的青年们还不能爱他们必须学习他们必须用他们整个的生命用一切的力量集聚他们寂寞痛苦和向上激动的心去学习爱
7357,0,4,1,2,0,1,2,0,我愿称之为神里面某位男嘉宾太像了以致于每次看到他不开心我就很难过当然不是对念念不忘而是往日熟悉的情绪涌上心头从开始觉得婚姻可怕到后来逐渐觉得婚姻也有他的迷人之处不论怎样都要有勇敢面对的心只希望下一季也要保持这种真实真诚的样子啊
494,12,3,0,2,1,1,4,0,好久没看到这么真实的综艺了直面惨酷婚姻的现实每个嘉宾在面对眼前这个最熟悉的陌生人时表现出的各种窘迫尴尬关切骄傲愤懑渴求讨好不耐烦小心翼翼欲言又止都是那么真实可贵
7461,0,7,0,2,0,0,1,0,今天看完了最后一集在这一部观察类节目里我没有想到会如此的真诚和细腻最后节目组给各个嘉宾的信里他们理解他们懂得在看节目的时候对于每位嘉宾能够理解能够反思但是不能评判人与人之间的情感婚姻年对于一个年轻人一个刚满岁的年轻人来说都是一个个整体而又未知的样本最直观的感受是浓厚真实这个综艺我可以打到分至此之前没有任何一个可以达到立意探索拍摄用心嘉宾的碰撞一个饱含着每个人的情感的节目能够迸发出最大的力量
11060,0,13,1,2,0,0,5,0,看个综艺节目哭的稀里哗啦的真是醉醉的为什么会结婚前提肯定是相爱呀相爱的人为什么走着走着就散了呢是相杀到爱不剩下什么了吧这对如果细数对方的优缺点优点肯定多于缺点但是缺点又都是原则性的难怪会游走于离婚边缘老王这对老王就是别人口中适合过日子的男人但你去和他过过看真的会很受伤的因为只有他是对的你的都是错的这种关系太压抑了章鱼这对有爱吗有但很少但又都很善良和有责任感所以生活在一起十年如果他们都找到一个很爱的人生活的会更幸福吧都已经分开了就别回头了生活本来就很累两个人是要相互扶持的而不是成为负担他们相爱或不那么爱却一直纠缠在一起或许这就是生活本身吧没有完美的生活也没有美好的爱情最后一句给我一次爱情吧能让我变得更好的爱情
12590,1,3,0,2,0,0,0,0,近期流的眼泪百分之八十都来自这档综艺吧好几处看出了一种电影质感观察嘉宾的讨论与分析都蛮精彩的一档使人意识到情感教育的重要性的节目爱是需要学习的一种能力
4125,0,1,1,2,0,0,1,0,一个离婚的综艺看得我津津有味老王这种男人真的不行一开始到底怎么在一起的还是后来疲惫了这个节目告诉我们不要着感情里一定要学会沟通如果有一天对方都不愿和你沟通那就是到尽头了
12492,0,1,1,2,0,0,0,0,开始以为是狗血的用离婚噱头博取眼泪的综艺慢慢看完领悟了很多人生哲理特别是有效沟通的重要性在一起不管多长时间都有可能是最熟悉的陌生人
3331,0,6,1,2,0,0,0,0,观察团尤其两个老师真的是言之有物让我每每点头恍然大悟那种这节目拍的好上午看女儿们的恋爱下午看女人们的离婚哈哈哈感觉真的有勇气接受离婚了才能安心结婚嘉宾选的也挺典型的郭柯和章贺他俩其实离了的状态更好别看现在好嗑真要复婚又要吵吴缅爸妈就是离了好朋友碰面就要吵剩下两对三观不同姐姐们独美吧
4040,1,5,1,2,0,1,3,0,我们如何面对流动的模糊的不确定的情感男性与女性是否无法共感共情爱是什么呢婚姻和爱怎样交织的呢什么是健康的亲密关系如果注定要分离我们是否能好好道别郭柯宇在人物文章里说在如此广阔的天地里不过是一个人温暖一个人只是我们大多数面对的都是狭小局促的生活
5362,0,1,0,2,0,0,0,0,心碎了再治愈十二期跟着哭了不下五遍节目组嘉宾观察室拍摄地环节设置甚至都很好最爱的章贺郭柯美学有了属于他们的跟着他们一起做了一场天的梦没想到最后为王哥哥流了很多眼泪爱节目里的所有人对婚姻怀有敬畏了就很好很好很好
5647,0,2,0,2,0,0,0,0,前两集就遭遇暴风哭泣后面几次看得鼻子酸酸希望以后我们都不用再见爱人
1913,0,7,0,2,0,0,0,0,真没想到一个离婚综艺我能追的一发不可收拾普通人的感情更加真实和真挚也更能让人产生共鸣吧最后两期真的是暴风哭泣最后章鱼撒糖也真的是让我能睡一个好觉了好喜欢郭柯宇讲话的声音和不紧不慢的语速让人很安心但可能也是温柔的一刀不要高估自己对没有爱情的婚姻的容忍度第一对章和郭：最熟悉的陌生人为了结婚而结婚第二期大喊的画面真的感人好聚好散也是一种风度第二对和佟：姐姐和妈宝男情绪稳定和成熟是男人给于女人安全感的关键第三对王和：年龄差的太多感性和理性两个极端在一起也真的是好累
4857,0,3,0,2,0,0,1,1,我还是认为人应该在提出分手的时候就分手提出离婚的时候就离婚这么多年了反反复复不理解别人也不理解自己对自己不负责也拖累自己十几年都没有搞清楚的问题短短几天的旅游仿佛看到了能够重新在一起的假象但是回到生活中依然还是原来的样子还是那句话能改早改了不用等到现在
2222,0,6,1,2,0,0,6,0,爱情和婚姻真的那么复杂吗我们在感情中为什么会有那么多的心口不一逃避与倔强傲慢和偏见要怎样学习爱的艺术才能把带给爱人的伤害降到最低再勇敢一点再诚实一点再简单一点不要连期待幸福的勇气都丧失掉
1260,0,2,0,2,0,0,3,0,我觉得里面看到的问题都蛮真实可以自省这就是婚姻里可能出现的各种问题并不是说看到婚姻的问题就失望不结婚了而是因为爱与责任成长变成更好的自己既不需要拔高对婚姻的期望与标准也不需要一味地抗拒逃避人生的课题不仅仅包括婚姻
6755,2,15,1,2,1,0,1,0,虽然题材是借鉴韩综但拍得蛮高级的不得不佩服芒果台的质感对胡彦斌有点刮目相看没想到一个单身汉看问题这么透彻讲的太好了老王真是河南大男子主义的优秀代表就是气氛担当嘴上能力者老王和雅琼就是有点代沟价值观不同一个实在都在心里不爱说雅琼就浪漫一些像小女生希望有仪式感婚姻中小小的仪式感还是要有的给平淡无味的生活来一点涟漪但仪式感也要有度太多也就不稀罕了爱需要表达两个人要互相鼓励扶持着走下去章贺在悬崖上的喊话太撕心裂肺太催泪了活成你想要的样子真的释怀了需要这种宣泄的机会本来以为离婚节目会很丧不想碰但其实并没有耶很正能量一起探讨婚姻中的一些问题很深刻观察团的观点输出也持续在线有内容有深度杨迪跟倪萍老师一比还是差很远啊大结局前两对一滴眼泪没掉但被章老师和郭老师整泪奔了
4244,0,7,1,2,0,0,2,0,离婚综艺首先是个大胆的尝试然后嘉宾和旅行地点都选的很好三是很难得节目展现情感问题的同时也尽可能立体的去展现所有嘉宾的可爱展现人与人的联结大多时候没有绝对的对错最感动的是在这个黑白如此分明的时代它是个能让人相信爱敢去爱的节目明白真实的爱是人生的一种丰盛体验这是很多狗血剧甜剧甚至恋综都替代不了的
332,0,0,0,2,0,0,0,0,有意思最后一期没有看了离婚或者想离婚总是有原因的
6564,1,4,0,2,0,0,1,0,老王最后看着朱说你一下子老了十来岁痛哭的感受我太懂了试问谁喜欢一个人的初衷不是希望她能在自己面前永远是个小女孩然而关系却常常是这样无能为力郭老师是个宝藏浪漫务实娇嗔洒脱有情有义都是她太有魅力了
6528,0,4,0,2,0,0,3,0,心疼朱雅琼觉得自己和她很像但不理解她为什么爱上王秋雨过度失衡的爱情吧看不下去很生气离婚吧别再见了黄执中说用自己的独特来掩饰自己的残缺还挺赞同的
10131,0,5,1,2,0,0,0,0,爱情或者婚姻对于你来说意味着什么人生一定是孤独的我认为婚姻和爱情是双方愿意花时间去了解支持对方一定程度上消解对方的孤独但是也不要给婚姻添加更多的附加意义比如不要把婚姻和自我成长放到一起
6904,1,2,2,2,0,0,2,0,三集了不好评分制作本身挺好的只是随着故事进展越来越意识到文化系统下创造的创伤很难被其他因素抵消这种伤痕会普遍地用不同形态刻在很多人身上三对就我的角度是一体面开始惊喜后来发觉浮出水面依旧是家庭题材剧下的厌倦印有时真挺沉的
9029,1,1,2,2,0,0,1,0,快乐是真的难过是真的欢笑是真的泪水也是真的大概这就是婚姻里面最真实的模样吧酸甜苦辣咸各种滋味掺合在一起个中滋味真的不足为外人道也
7971,0,19,1,2,0,0,2,0,第一集觉得老王好难理解问看到他因为观察到雅琼变老了泣不成声觉得他才是苦情男主角太令人唏嘘了摩登家庭有一集对发火又道歉又献殷勤就是不知道在气什么后来说因为我给你推荐的东西你从来都不试陌生人给你推荐同样的东西你就赞不绝口你不相信我越过越觉得是没有完人你美丽正义善良乐观诚实优雅知性成熟刻苦你哪怕集所有优点于一身也不会成为你维持亲密关系的理由有时候你只是没有处理好微妙的矛盾没有及时去认可对方没有表达需要和被需要用自己的标准为对方着想于是造成了关系的破裂本以为这些小事应该不值一提其实它重要细节之处见问题
334,7,6,0,2,0,2,6,4,不推荐任何人收看什么狗屁玩意两个屁大一点事为什么要放大成社会问题来讨论两人因为彼此吸引在一起在一起后因为各种折磨而不适应实践是检验真理的唯一标准没有经过长期共同生活的恋爱都是耍流氓两个独立个体组成家庭后总要共同面对一切困难但凡有一方认怂或者长期压抑亦或者不诚实都会导致情感关系破解不就是两个人不合适的问题问啥还要强行组拉在一起彼此消耗节目组脑子里装了什么奇怪的东西是什么原因让这样明显激化社会矛盾的烂创意过审这样的节目能达到什么效果有什么目的要让全国人民用民族大义来共同批判斗争彼此都不成熟有明显人格缺陷的夫妻吗这节目从出发点就不对真是给投资方添堵还给电视台抹黑真心提醒要看的人不要好奇不要好奇不要好奇
10916,0,7,1,2,1,0,4,0,打满分是因为良心节目组把大新疆拍得太绝美了又多了很多想去的景点也很棒然后三对嘉宾很勇把自己婚姻的痛点掏给观众看哪怕是有剧本也拍出了新的意义老夫老妻重新恋爱太秀了啦呜呜看了没有恐婚诶反而想挑战怎么肥四还记了小笔记万一有幸用上呢哈哈哈还有章鱼夫妇的结局要暴风哭泣从第一集的尴尬赌气窒息双方世界相互进不去不想沟通别扭到慢慢的和解关心吃醋撒娇玩闹最后的最后爱的华尔兹喜欢文青的郭柯说话散文诗似的娓娓道来喜欢章贺的衣品总之没有白磕章鱼夫妇哇哭泣最后老王啊老王你没了朱以后日子该过得多无趣啊不喝酒的还是很可爱的佟姐你的长腿和观点我都好爱小眼睛的胡彦斌是个人间清醒且幽默的才子
2555,0,6,2,2,0,0,4,0,郭柯宇章贺离婚一年后将爱情转变成了亲情有着十年夫妻独有的默契一种体面的分开方式老王这对一个过度浪漫主义者遇上了一个过度务实主义者双方都无法满足对方的要求离婚才能让他们更幸福佟晨洁一个理智冷静内心强大一个幼稚酗酒控制不住情绪从性格来说两个人是互补的但是要一直在一起很难
3808,0,2,0,2,0,1,1,0,太厉害了每个人都有问题每个人都不孤独问题就像你我他郭采洁是真讨人厌但黄执中和情感专家的点评很多时候让我觉得学到了点什么看看别人的失败希望自己可以避免
12712,0,1,0,2,0,0,0,0,真是绝了今年看下来觉得最好的一部综艺竟然是离婚综艺里面的三队夫妻都各有各的不幸尤其是老王和朱雅琼这一对真是看得我血压要上来了
8679,0,6,0,2,0,0,3,0,国综高光了最感慨的人是老王如果他能遇到一个美丽且聪明的笨女人就好了可惜朱雅琼不是她美丽但不够聪明也不够笨她和是我们生活中最常见到的那种人故事总是一地鸡毛当置于上帝视角观看的时候不免悲悯因为懂得所以慈悲
1067,1,2,0,2,0,0,3,0,其实婚姻有时候没什么道理可言别人觉得你受尽委屈但也只有你知道属于你们的小秘密支撑着你走过一段又一段艰难的路程也许仅仅是打电话时候他总是让你先挂也许仅仅是你不会表达但他懂得也许仅仅是你晕船他记得也许仅仅是一个微小的细节婚姻或许不再是花前月下但爱上一个人绝对不是偶然既然会爱上你一次想必也会再次爱上你亲密关系沟通很重要最后不要互相消耗真的不要互相消耗
3931,0,5,1,2,0,0,1,0,很开心因为这部综艺认识了郭柯宇温柔又强大的女性依然像一个精灵的确要勇敢要有情有义的无论命运给了女性爱情抑或没有以及到最后在某种程度上很共情老王我也曾付出一切倾注整个世界很遗憾失败但不后悔经历过
620,0,5,2,2,0,0,1,0,昨晚看完再见爱人大结局包括隔三个月与观察室重聚的番外真是无限唏嘘我是差不多整个集一路跟着哭着看完我跟观察室李维嘉和胡彦斌泪点基本同步甚至更多主要是细节太多了扑面而来人物关系的逻辑变化也多够真也不全真毕竟集也只是生活的只言片语回头可以播客聊一下同学看完两集后说唉怎么接着看还要我说行吧来找我看吧我可以跟你再二刷一遍其实再见爱人就是伴侣治疗互助小组也是国内最欠缺的领域果然还是要靠综艺节目形式几乎全员演员嘉宾除了老王但他也是职业编剧的组合用尽量不演的表演尽可能触碰生活里够不着的真实
911,8,6,2,2,0,0,1,0,郭柯宇年轻时候真是长在我审美点上郭柯宇的性格也在我审美点上章贺逼问郭柯十年到底对他哪里不满意的时候两个人满脸的无奈让我很恍惚我曾经也这么痛苦的逼过我老公好在我们俩最终发现了这个问题虽然还不算解决了爱情是要有分开的勇气和底气的愿所有的情人都能在有这份勇气和底气的时候依然拥在一起
8853,0,3,2,2,0,0,0,0,感情绝不只一种类型令人疲倦不堪和消耗的感情也是看完了最后一期感慨很深：过去的我总是纠结于找出感情中的问题死揪着不放试图解决却总是无法解决分析别人的感情和自己的感情都是如此却忽略了实实在在去相处和感受对方爱与不爱如何去爱如何被爱这都是太大的命题我们如何面对彼此未来的我们如何面对自己也许没有所谓的标准答案而我们能做到的只有此刻希望足够真诚
4425,0,6,2,2,0,0,1,0,节目组太会了手写信真的给我整破防了天冷了多加件衣服晚上盖好被从此爱健康与自由想给你的未来加油打气也想和你拥抱很久很久郭姐和雅琼都要加油努力生活健康快乐希望哥别让佟姐失望两人可以继续幸福下去老王也要敞开自己的内心不过章贺真的不行哦还有如果这节目确实是有剧本佟组火候明显没有到家章鱼组简直堪称偶像剧天花板建议国内编剧都好好学学
4309,0,4,1,2,0,0,1,0,今年最喜欢的综艺无论是题材还是成片质量画面配乐文案随便一样都很能打我反复向身边的朋友推荐却都没有成功对离婚题材不感兴趣觉得还太年轻没有想过这些但我觉得嘉宾带来对婚姻情感的思考对结婚的没结婚的有没有伴侣的都能够带来思考是值得去观看的一档节目
12406,0,4,0,2,0,0,1,0,可以适当优化室内观察员人选第一季嘉宾每一对太优秀了真诚袒露自己的缺憾与伤疤难以超越
625,2,0,0,2,0,0,0,0,把那些裂痕呈现学会爱的语言过了很久的一天跟感叹终于明白为何老王会那么戳我了他真是这个节目里最最最最把一颗心捧给你任你伤害的问那哭看郭柯那哭我完全抵挡不住郭柯最后下车也真是卸下了防备但那也只是这一段佟晨洁与再撒糖但都是没卸下的唯有老王天呐老王的哭和郭柯的哽咽还有自己的感受都会保护着我的内核爱真的存在即使它可能会包裹着越来越重的外套但它真的存在
12399,0,4,0,2,0,0,1,0,郭柯宇和章贺最后结局那个下车的拥抱真的好令人动容那个纸片被风吹掉郭柯向后转大哭那个画面真的好难过不是当事人有些感情太难共情了无论过往发生什么这个拥抱开始皆为序章吧两个人都放下防备拥有一段美好的开始吧祝福郭姐
1869,0,16,1,2,0,1,6,0,章鱼夫妇太好磕了哈章不懂郭的浪漫郭不懂章的温情郭老师真的好会但是真的需要打开心结心事太重了声音温柔轻甜长相斯文优雅沟通真的很重要毕竟人生有几个十年呢章柯间是一定有爱的警惕先结婚后谈恋爱：大结局情绪高点之前有广告打开网易云听歌这世界那么多人开始了没关但意外准确踩点一整个大破防给我回家生二胎老王实在人过日子的人能理解他的不易但情商真的有待极大提高朱有时显得太过自我能看到两位深厚的情感基础和美好爱情回忆佩服老王最后的放手在节目中看到了两位的变化祝各自安好一定要戒酒不喝酒的时候还好醉后情绪不在状态时真不像话简直不是佟姐没啥问题简直不要太好不要太惯他了以上只是基于节目所展现出来的人物表现的片面理解当我没说
82,35,6,0,2,0,0,0,0,一个人要充分地了解并理解自我并理顺自己与这个世界的关系这是每个人的终极命题当这道题解不清楚的时候它首先会把这个困境投射在亲密关系上这个节目很妙的是离婚夫妇一定是这世界上对彼此最坦诚的人在这个基础上它展现了非常多的有共性的问题同时提供了非常丰富而且相对客观的视角当事人怎么想怎么看他她的伴侣怎么想怎么看他们身边的同性异性朋友怎么看屏幕外的人怎么看经过这么多层的冲刷洗礼很多东西被纤毫毕现毫无保留地呈现出来了
13397,0,0,0,2,0,0,1,0,这个情感太纠结太复杂了感觉再好的演员都演不出来在旁观者的角度看别人的婚姻也是给自己一个反省的过程
12995,0,6,0,2,0,0,1,1,第一次磕真人秀给我虐哭了原来到中年还是能保持爱情的一对已离婚的夫妻婚前称对方是最熟悉的陌生人在婚姻中各自孤独他俩都觉得彼此不爱自己结果却过了十年参加节目他俩就像刺猬嘴硬要强经常答非所问哪怕彼此在意着却不肯放下自尊去做妥协的那一方为了面子会说我从未有过想你复婚的念头明眼人看在眼里的爱他俩却不自知当问到这次旅程中可曾有对对方心动过吗他俩都选择下车去承认自己的心动片刻坦诚勇敢地面对真实的内心
3809,0,6,2,2,0,0,4,0,有些人就是垃圾词汇有些人就是一语中的我们言语背后的弦外之音听懂了就能心领神会若没听懂说破嘴皮子也毫无意义那家餐厅太美了我一定要和你去一次但是那个菜其实挺一般的可是你知道吗那个老板娘戴的那个耳环特别漂亮有爱情又怎样没爱情又怎样爱到死去活来又怎样有谁能好好道别呢真的是好久好久好久好久好久没看综艺了对当下对以后忽然就多了几分释然和轻松
11057,0,6,2,2,0,2,2,0,看过最接近真实又最戏剧化的感情观察类综艺看的过程中有太多感触很难用只言片语说清楚最大的感受或许是让我更珍惜身边的人了吧也没有那么担忧未来和害怕分离了无论曾经多么美好过可是一旦不再去用心经营这段关系曾经那些也都会随着一次次的破裂而最终变得面目全非彼此拥有时尽量包容相待分离时也微笑祝福希望我可以做到
9623,0,3,2,2,0,0,1,0,六个人里最喜欢朱雅琼她跟老王的相处模式太像父女了老王在生活上无微不至地照顾她又在情感上对她无情打压即使这样朱雅琼的自我依然顽强地生长起来了这对离婚是正确的选择冲呀朱雅琼去自由地唱歌自在地生活
6140,0,6,1,2,0,0,0,0,看前没想到能在一档离婚综艺中找回爱的勇气爱要勇敢分开要勇敢一直保有再爱的能力更要勇敢上次分手时一位姐姐跟我说其实女性的韧性更强当时我存疑现在我确信明明觉得自己情感经历算丰富这会儿又好像没谈过恋爱但我知道我想要什么了下次一定
3405,0,7,1,2,0,0,1,0,郭柯宇和章贺都是好人却没办法互相走入彼此出现又离开朱雅琼和王秋雨年一定狠狠爱过但没有人能够承受恋人长期以来的冷言冷语的和佟晨洁被幽默吸引亦为迂回所伤朱雅琼说我走进他书房问他要一个拥抱看他不情愿我说一分钟我抱着他然后他拍了拍我意思是一分钟到了我可以走了我简直心碎某种程度上我能理解王秋雨作为职业写作者所显露的真实但朱雅琼太太难过了我想我未来的丈夫可能比我大三岁及以上像沈佳宜
8148,1,3,2,2,0,0,1,0,每一对身上都有很看到很多遗憾和无奈以及自己映射到自己过往的影子人生这场戏真的是每个人拿着自己的剧本认为自己没错但是两个人在一起确实一场游戏每一次的失败就会掉血扣分到一定的阈值感情这场游戏就终结了即使认为重新来过自己有了更多经验就可以走的更远但是不在一个频道的两条线交叉总会出现摩擦相爱反而会成为彼此最大的负担每集都有好多点戳到好久没看综艺哭了给编剧姐姐点赞
3704,2,5,2,2,0,0,0,0,太真实了这三对的感情状况真实且激烈有的看似甜蜜却千疮百孔有的看似分开却拥有亲情感情相爱离婚真的是两个人的事不仅仅只一方对错希望屏幕里的他们找到病症也希望屏幕外的我们引以为戒
13235,3,7,1,2,0,0,2,0,有触手可及的真实后从小父母相处的模式就是过日子大家从不把爱不爱放在嘴边是因为受了教育大量的文学作品艺术作品把爱描述的那么伟大那么迷人甚至那么必须可是真正到了亲密关系里那些龃龉不可说无奈就是这样的节目里这三对很坦诚了在讨论感情没那些外物的纠缠真的现实是有金钱距离时间种种矛盾到哪找那么适配的人啊有时候知足常乐真的孤独终老我想也未必能承受
4996,0,6,0,2,0,0,3,0,刚开始看会感叹爱情太复杂太纠葛果然是碰不得的玩意儿看到最后又会觉得说到底爱情也不过就是这么一回事儿吧处在谈论爱情很奢侈的年龄在这部综艺里反倒是沉浸式体验到了真实亲密关系的切面很能共情每一位女孩子也始终记得郭柯宇在寒风中流着眼泪哽咽：有爱情又能怎么样有爱情就能好好告别么祝每一位好
12672,0,3,2,2,0,0,0,0,这个社会有太多表现甜蜜的婚恋节目却往往忽略了甜蜜相位的苦涩再见爱人会让我感到是一出直面矛盾理清思绪的一档综艺我没有爱情没有婚姻但依然能从中学习到生活
10573,0,4,0,2,0,0,0,0,每个人都很理智只是换个不再是夫妻的角色继续相处仍然是朋友或是亲人这样的分开才不会那么伤害对方伤害孩子吧放手更是一种成全
8527,0,0,2,2,0,0,1,0,快乐和甜蜜永远都是相似的但是不幸与分离永远都复杂多变我们可以写出甜甜的恋综但是写不出如此复杂的离婚综艺
8,692,1,0,2,0,0,0,0,这真是一场现实加长版微观版的婚姻故事作为观众当然是感到反讽效果拉满结局早已写在剧目开始之前但还是忍不住一次又一次地叹息和哭泣
11502,0,4,0,2,0,1,2,0,真的真的很好哭三个姐姐真的新时代女性代表雅琼姐姐很优秀很闪光啊我真的觉得她被了这么闪闪发光的一个女孩子佟姐姐真的是我希望活成的样子清醒独立通透敢爱敢恨敢作敢为所以说要什么男人净添堵最后一对比较可惜吧我感受到的是章老师要爱的更深更久就还挺遗憾的他们在一起只是因为时间到了这个原因确实挺伤人的愿我们都能不被世俗所困扰
6737,3,4,0,2,0,0,3,0,这真的是真人秀情感真实到你一集里被带动的心情大气大落婚姻就是这样没什么大事就是你愿不愿意为了爱的人多付出行动如关心呵护倾听如果在婚姻中都不能够为了对方改变一点那怎么能说是爱那只是更爱自己而已婚姻里讲的是情而不是理别说失去自我自我没那么容易丢失因为感到不适人都会离开毕竟人都更自私的
5285,0,5,1,2,0,1,4,0,四分全给摄影组吧简直把新疆拍的太美了好想去旅游嘉宾我觉得这里边除了佟是正常人其他人都好别扭啊最开始觉得章鱼夫妇两个人都明事理三观正可是越看越别扭尤其是郭撩完就跑死不承认嘴比死鸭子还硬实在是看不懂尤其是问的时候看得我好冒火很难不说她来这个节目不是为了复出太不真诚了实在是太奇葩了最后一期观察室都在引导观众强行给他们洗白但实在是没啥用到最后没有一对导致离婚的问题得到了解决每一对都在摧毁我对正常的婚姻关系的认知太可怕了看了之后就觉得这都是什么男人啊我男朋友是天使吗
10022,0,6,0,2,0,0,0,0,只有真的相爱才让有勇气和信心去追佟晨洁以后少看这种节目吧让爱情在人生中的比例减少吧若再遇不到让自己心动的人最后一期番外升华一个档次回忆往期节目的喜怒哀乐感动失望真的很感人
9833,0,5,2,2,0,0,1,0,难得好看的综艺观察室里融洽又有梗全员都很合适我是看到章贺唱出现又离开之后彻底爱上了这个综艺进入他们的感情纠缠里出不来了三对我目前都是劝分不劝和的态度只是对章贺和郭柯宇的情感比较遗憾两个人相处的感觉就好像谈恋爱的小男女但是他们的默契就好像白头到老的夫妻看完问这一期来更新哭的我稀里哗啦说实话很少有综艺让我三番五次的哭很幸运能这么认真的看去这个综艺因为我很少能代入自己的感情但这次我明显进去了我现在觉得章贺郭柯宇分开很正确其实之前郭柯宇说给章贺洗一下午衣服那次我就觉得他们现实生活中不幸福那不是他们想过的生活分开吧去过自己想过的生活祝福你们
1182,1,6,0,2,0,0,0,0,郭柯宇泪眼婆娑地讲道我们之间没有爱情有爱情又能怎么样有爱情就能好好道别吗过去的日子感谢你未来的日子一定要活出自己喜欢的样子祝你也祝我
6664,0,4,0,2,0,0,2,0,勇敢的表达自己的爱真情流露是多么的动人啊看到最后越来越理解郭柯宇了如果不是爱一个人怎么会在最好的年纪结婚生子放弃热爱的演艺事业对郭来说付出了太多却没有换回她期待的爱所以会哭会难过会惋惜千言万语都无法表达了
250,2,5,2,2,0,0,0,0,难得从头追到尾的真人秀真诚的节目浓缩了现代婚姻的各种问题一路看下来对于一个并未走进婚姻的我特别有启发婚姻是什么是一种契约精神是承诺是合作更是相亲相爱如果没有爱情过的婚姻是悲剧而亲情是更高级的感情有些人有有些人没有有些人得到过失去了有些人可以好好珍惜
783,2,5,1,2,0,0,0,0,女性好可怜三个姑娘其实都又有性格又有魅力结果全都在泥坑里消耗了大量的精力既要当妈又要当女儿满足东亚男性所谓的面子和自尊心一段不健康的关系实在太伤害一个人的人格女性步入婚姻才是真正的在玻璃渣里找糖吃呢
10059,0,5,2,2,0,0,1,0,以独特的视角展现了亲密关系结束的三个阶段的不同形态已离婚冷静期准备离婚打破了传统观念下对幸福婚姻的期待让人更勇敢而理性地面对一段亲密关系的结束很新颖也带来对追求幸福珍惜眼前人疏离与包容的思考
323,0,2,0,2,0,0,1,0,以为是坐待情感冲击其实是在玻璃碴子里找糖吃最后两集让我哭的稀里哗啦的其实眼泪都是为自己而流
